position,Active/New,rule name if group (grp) used,src.1,src.2,port,dst.1,dst.2,dst.3,dst.4,dst.5,dst.6,dst.7,dst.8,dst.9,dst.10,dst.11,dst.12,dst.13,dst.14,dst.15,dst.16,protocol,service.1,service.2,service.3,service.4,service.5,service.6,service.7,service.8,service.9,service.10,service.11,service.12,service.13,service.14,action,Logging,comments
34,Active,allow-emeaall-to-sgall,GRPNET-em-fr-emea-all-001,GRPNET-em-fr-emea-all-001,Any,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
35,Active,allow-sgall-to-sidnall,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
36,Active,allow-sidnall-to-sgall,GRPNET-ap-id-sidn-all-001,GRPNET-ap-id-sidn-all-001,Any,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
37,Active,allow-sgall-to-stwall,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
38,Active,allow-stwall-to-sgall,GRPNET-ap-tw-stw-all-001,GRPNET-ap-tw-stw-all-001,Any,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
39,Active,allow-sg-to-china,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
40,Add,allow-chinal-to-sg,GRPNET-ch-ch-sch-users-001,GRPNET-ch-ch-sch-users-001,Any,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
41,Add,allow-sgall-to-jpall,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
42,Active,allow-jpall-to-sgall,GRPNET-jp-jp-kdc-all-001,GRPNET-jp-jp-kdc-all-001,Any,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,GRPNET-ap-sg-rhq-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
43,Active,outbound,InternalNet,GRPNET-ap-sg-rhq-all-001,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Accept,Log,NA
